"","BorrowerState","freq","pop"
"1","",1629,5515
"2","AK",18,200
"3","AL",359,1679
"4","AR",76,855
"5","AZ",329,1901
"6","CA",2306,14717
"7","CO",232,2210
"8","CT",145,1627
"9","DC",29,382
"10","DE",31,300
"11","FL",983,6720
"12","GA",1031,5008
"13","HI",40,409
"14","IA",67,186
"15","ID",118,599
"16","IL",1022,5921
"17","IN",263,2078
"18","KS",129,1062
"19","KY",114,983
"20","LA",123,954
"21","MA",236,2242
"22","MD",417,2821
"23","ME",37,101
"24","MI",574,3593
"25","MN",351,2318
"26","MO",555,2615
"27","MS",100,787
"28","MT",53,330
"29","NC",469,3084
"30","ND",15,52
"31","NE",56,674
"32","NH",78,551
"33","NJ",303,3097
"34","NM",77,472
"35","NV",101,1090
"36","NY",580,6729
"37","OH",572,4197
"38","OK",129,971
"39","OR",327,1817
"40","PA",304,2972
"41","RI",54,435
"42","SC",118,1122
"43","SD",21,189
"44","TN",215,1737
"45","TX",921,6842
"46","UT",161,877
"47","VA",339,3278
"48","VT",18,207
"49","WA",503,3048
"50","WI",221,1842
"51","WV",51,391
"52","WY",10,150
