"","BorrowerState","freq"
"1","",5515
"2","AK",200
"3","AL",1679
"4","AR",855
"5","AZ",1901
"6","CA",14717
"7","CO",2210
"8","CT",1627
"9","DC",382
"10","DE",300
"11","FL",6720
"12","GA",5008
"13","HI",409
"14","IA",186
"15","ID",599
"16","IL",5921
"17","IN",2078
"18","KS",1062
"19","KY",983
"20","LA",954
"21","MA",2242
"22","MD",2821
"23","ME",101
"24","MI",3593
"25","MN",2318
"26","MO",2615
"27","MS",787
"28","MT",330
"29","NC",3084
"30","ND",52
"31","NE",674
"32","NH",551
"33","NJ",3097
"34","NM",472
"35","NV",1090
"36","NY",6729
"37","OH",4197
"38","OK",971
"39","OR",1817
"40","PA",2972
"41","RI",435
"42","SC",1122
"43","SD",189
"44","TN",1737
"45","TX",6842
"46","UT",877
"47","VA",3278
"48","VT",207
"49","WA",3048
"50","WI",1842
"51","WV",391
"52","WY",150
