"","BorrowerState","pop"
"1","",
"2","AK",738432
"3","AL",4858979
"4","AR",6828065
"5","AZ",2978204
"6","CA",39144818
"7","CO",5456574
"8","CT",3590886
"9","DC",693972
"10","DE",945934
"11","FL",20271272
"12","GA",10214860
"13","HI",1431603
"14","IA",3123899
"15","ID",1654930
"16","IL",12859995
"17","IN",6619680
"18","KS",2911641
"19","KY",4425092
"20","LA",4670724
"21","MA",6794422
"22","MD",6006401
"23","ME",1329328
"24","MI",9922576
"25","MN",5489594
"26","MO",6083672
"27","MS",2992333
"28","MT",1032949
"29","NC",10042802
"30","ND",756927
"31","NE",1896190
"32","NH",1330608
"33","NJ",8958013
"34","NM",2085109
"35","NV",2890845
"36","NY",19795791
"37","OH",11613423
"38","OK",3911338
"39","OR",4028977
"40","PA",12802503
"41","RI",1056298
"42","SC",4896146
"43","SD",858469
"44","TN",6600299
"45","TX",27469114
"46","UT",2995919
"47","VA",8382993
"48","VT",626042
"49","WA",8382993
"50","WI",5771337
"51","WV",1844128
"52","WY",586107
